Year,Month,Day,Open,High,Low,Close,Volume,Adj Close
2002,8,20,94.82,95.4,93.62,94.38999938964844,30508300,64.54264831542969
2002,8,21,95.06,95.78,93.57,95.75,39628900,65.47258758544922
2002,8,22,95.49,97.15,95.07,96.68000030517578,38399800,66.1085433959961
2002,8,23,96.01,96.15,94.15,94.5999984741211,33716400,64.6862564086914
2002,8,26,94.91,95.64,93.5,95.26000213623047,33830100,65.1375503540039
2002,8,27,95.7,96.25,93.5,94.16000366210938,35335700,64.38538360595703
2002,8,28,93.28,93.49,91.8,92.0999984741211,38970600,62.976783752441406
2002,8,29,91.27,93.05,90.81,92.13999938964844,42965700,63.00410842895508
2002,8,30,91.68,93.39,91.4,91.77999877929688,30366700,62.757957458496094
2002,9,3,90.73,91.0,88.15,88.27999877929688,76586400,60.36470413208008
2002,9,4,88.61,90.25,88.06,89.54000091552734,51099500,61.22627258300781
2002,9,5,88.49,89.43,87.5,88.77999877929688,67250900,60.706607818603516
2002,9,6,89.75,90.57,89.34,90.0,38622200,61.540836334228516
2002,9,9,89.1,91.35,88.8,90.66000366210938,33998400,61.99214553833008
2002,9,10,91.14,91.78,90.56,91.69999694824219,41416600,62.70326232910156
2002,9,11,92.47,93.33,91.1,91.12999725341797,27711200,62.313507080078125
2002,9,12,90.75,90.84,88.99,89.44999694824219,43601700,61.16473388671875
2002,9,13,88.69,89.9,88.25,89.66999816894531,41131000,61.315162658691406
2002,9,16,89.31,89.89,88.46,89.88999938964844,28167600,61.46560287475586
2002,9,17,90.89,91.19,87.75,87.83000183105469,47609700,60.0570068359375
2002,9,18,87.01,88.5,86.28,86.94999694824219,54719400,59.45527648925781
2002,9,19,85.99,86.8,84.7,84.69999694824219,48510500,57.91676330566406
2002,9,20,84.92,85.2,84.05,84.3499984741211,46325600,57.93599319458008
2002,9,23,83.65,84.06,82.69,83.66000366210938,46893800,57.462066650390625
2002,9,24,82.44,83.65,81.85,82.30999755859375,69507000,56.534828186035156
2002,9,25,83.37,84.77,82.04,84.3499984741211,59294400,57.93599319458008
2002,9,26,85.02,85.97,84.45,85.7300033569336,53638000,58.883853912353516
2002,9,27,85.0,85.63,82.75,82.75,64648300,56.8370361328125
2002,9,30,82.0,82.8,80.9,81.79000091552734,73096400,56.17766189575195
2002,10,1,82.43,85.77,81.47,85.72000122070312,67198100,58.87697219848633
2002,10,2,84.69,85.53,82.6,83.1500015258789,56749100,57.111751556396484
2002,10,3,83.14,84.6,81.95,82.30999755859375,55547000,56.534828186035156
2002,10,4,82.8,82.92,79.58,80.80000305175781,68483700,55.4976692199707
2002,10,7,80.06,81.2,78.55,79.12999725341797,53188000,54.35062789916992
2002,10,8,79.81,81.31,78.2,80.37000274658203,79531000,55.202301025390625
2002,10,9,79.09,79.7,77.78,78.0999984741211,79956400,53.643184661865234
2002,10,10,77.94,81.07,77.07,80.62999725341797,76749000,55.38090133666992
2002,10,11,82.1,84.73,81.82,84.16000366210938,82308300,57.80549621582031
2002,10,14,83.2,84.85,83.04,84.62999725341797,40631900,58.1283073425293
2002,10,15,86.99,88.72,86.85,88.69999694824219,82320300,60.92380905151367
2002,10,16,87.41,87.8,85.92,86.55000305175781,62977800,59.44705581665039
2002,10,17,88.87,89.3,87.85,88.2699966430664,68534100,60.62845993041992
2002,10,18,87.65,89.11,86.93,88.63999938964844,47448700,60.88261032104492
2002,10,21,88.12,90.5,87.57,90.16999816894531,45859100,61.933467864990234
2002,10,22,89.05,90.01,88.52,89.5199966430664,40966800,61.48702621459961
2002,10,23,88.77,90.27,87.68,90.19999694824219,54905800,61.954063415527344
2002,10,24,90.75,90.9,88.1,88.36000061035156,54987400,60.69024658203125
2002,10,25,88.21,90.39,87.94,90.19999694824219,43672100,61.954063415527344
2002,10,28,91.15,91.29,88.85,89.61000061035156,39416100,61.54878616333008
2002,10,29,89.08,89.49,87.0,88.56999969482422,59508200,60.83451461791992
2002,10,30,88.68,89.96,88.23,89.43000030517578,41688600,61.42518997192383
2002,10,31,89.66,90.3,88.19,88.5199966430664,41620600,60.800140380859375
2002,11,1,88.35,90.82,88.05,90.2699966430664,51878900,62.00212860107422
2002,11,4,91.8,92.94,90.9,91.12999725341797,49080600,62.59283447265625
2002,11,5,90.84,92.07,90.84,91.8499984741211,37270800,63.087371826171875
2002,11,6,92.48,93.07,90.79,93.04000091552734,65013100,63.90476608276367
2002,11,7,92.02,92.22,90.22,90.76000213623047,51572000,62.33872604370117
2002,11,8,90.53,91.57,89.52,89.6500015258789,37905400,61.576297760009766
